#t 	 C(t)
0 	 7.8111929729e-08
1 	 2.2904817186e-08
2 	 1.5931238266e-08
3 	 1.1900347501e-08
4 	 7.4148461346e-09
5 	 6.2145201320e-09
6 	 5.2889915155e-09
7 	 3.5758273320e-09
8 	 2.4926936116e-09
9 	 1.7700482270e-09
10 	 1.3538919549e-09
11 	 1.1391156789e-09
12 	 8.6319639157e-10
13 	 7.1643412267e-10
14 	 4.9054662232e-10
15 	 5.0706314595e-10
16 	 4.0623497780e-10
17 	 2.9571429929e-10
18 	 2.5252793818e-10
19 	 1.9139194656e-10
20 	 1.5572482146e-10
21 	 1.4851845939e-10
22 	 1.1538704981e-10
23 	 1.0232823796e-10
24 	 8.5367748723e-11
25 	 6.5631061919e-11
26 	 5.2486912000e-11
27 	 3.8098439276e-11
28 	 3.2678300329e-11
29 	 3.0789605154e-11
30 	 2.6529921895e-11
31 	 2.0426157304e-11
32 	 1.8291144422e-11
33 	 1.3463511170e-11
34 	 9.4197593283e-12
35 	 7.6416231796e-12
36 	 6.2199029601e-12
37 	 4.0184400922e-12
38 	 4.2056339377e-12
39 	 3.1186270380e-12
40 	 3.6398426867e-12
41 	 2.1957665613e-12
42 	 1.5257338292e-12
43 	 1.8493818709e-12
44 	 1.2043383288e-12
45 	 1.5162784783e-12
46 	 1.8487512947e-12
47 	 1.5525943658e-12
48 	 1.2450957840e-12
49 	 9.4036071806e-13
50 	 7.2721130312e-13
51 	 5.6445775954e-13
52 	 3.7910175752e-13
53 	 2.8678339881e-13
54 	 3.0534616826e-13
55 	 3.6851419696e-13
56 	 2.1074039639e-13
57 	 1.4711401598e-13
58 	 1.1362140728e-13
59 	 8.3194240698e-14
60 	 7.4382323551e-14
61 	 6.3699156148e-14
62 	 4.6292416077e-14
63 	 2.1629228308e-14
64 	 3.0940349681e-14
65 	 2.0090470354e-14
66 	 9.9475666247e-14
67 	 6.8551326496e-14
68 	 1.0073347017e-13
69 	 5.1932939724e-14
70 	 9.0559121191e-14
71 	 6.2969667236e-14
72 	 1.1795301396e-13
73 	 1.3196067373e-13
74 	 2.5473398917e-13
75 	 2.7245619711e-13
76 	 3.0819971056e-13
77 	 2.8711308442e-13
78 	 4.0721287962e-13
79 	 3.9517584566e-13
80 	 3.0060566278e-13
81 	 3.3885892830e-13
82 	 2.2314755261e-13
83 	 3.2015771761e-13
84 	 3.2883308002e-13
85 	 4.8204638950e-13
86 	 6.2453167883e-13
87 	 7.0398747416e-13
88 	 7.0917958135e-13
89 	 9.9457817962e-13
90 	 1.0939388367e-12
91 	 1.3101160251e-12
92 	 1.4541847246e-12
93 	 1.4147496333e-12
94 	 2.1663257266e-12
95 	 2.2574010092e-12
96 	 2.7612727089e-12
97 	 3.8895190135e-12
98 	 6.9406361183e-12
99 	 8.5458436847e-12
100 	 6.6232691859e-12
101 	 8.7263778035e-12
102 	 1.0983344944e-11
103 	 1.3253183183e-11
104 	 1.6437880157e-11
105 	 1.7627384096e-11
106 	 2.1798957333e-11
107 	 2.3559961824e-11
108 	 2.5215146078e-11
109 	 4.0042149914e-11
110 	 4.0380828357e-11
111 	 4.7972621087e-11
112 	 5.8858870443e-11
113 	 9.5963472901e-11
114 	 1.0442629023e-10
115 	 1.0357487057e-10
116 	 1.2530963051e-10
117 	 1.5050432302e-10
118 	 1.8442359845e-10
119 	 2.7669093643e-10
120 	 3.3031846789e-10
121 	 4.7981437863e-10
122 	 9.7153046705e-10
123 	 1.0194472022e-09
124 	 2.4166012656e-09
125 	 4.5295804673e-09
126 	 7.7197425870e-09
127 	 1.3202701172e-08
0 	 4.6239839212e-08
1 	 1.9230993629e-08
2 	 1.2049304296e-08
3 	 1.1511177574e-08
4 	 6.4937446105e-09
